date,area,fips,area_type,population,per100k,cases,cumulative_cases,casesper100,total_tests,cumulative_total_tests,cmlper100,positive_tests,cumulative_positive_tests,cptper100,reported_cases,rptper100,cumulative_reported_cases,cumper100,reported_deaths,cumulative_reported_deaths
4/1/2020,Alameda,06001,County,1685886,17,67,768,45,461,8058,474,61,584,34,18,1,287,17,1,8
4/1/2020,Alpine,06003,County,1117,0,0,1,1,1,5,5,0,1,1,0,0,1,1,0,0
4/1/2020,Amador,06005,County,38531,0,0,5,5,16,189,189,0,4,4,0,0,1,1,0,0
4/1/2020,Butte,06007,County,217769,2,0,14,7,31,580,290,1,15,8,0,0,6,3,0,0
4/1/2020,Calaveras,06009,County,44289,0,0,6,6,15,214,214,0,8,8,0,0,3,3,0,0
4/1/2020,Colusa,06011,County,22593,0,0,3,3,4,21,21,0,2,2,0,0,1,1,0,0
4/1/2020,Contra Costa,06013,County,1160099,12,25,515,43,333,5582,465,26,369,31,21,2,267,22,0,3
4/1/2020,Del Norte,06015,County,27558,0,1,2,2,9,123,123,2,4,4,0,0,0,0,0,0
4/1/2020,El Dorado,06017,County,193098,2,4,35,18,61,857,429,4,24,12,0,0,14,7,0,0
4/1/2020,Fresno,06019,County,1032227,10,21,254,25,109,1817,182,9,74,7,16,2,75,8,0,0
4/1/2020,Glenn,06021,County,29348,0,0,3,3,4,39,39,0,2,2,0,0,2,2,0,0
4/1/2020,Humboldt,06023,County,134098,1,0,50,50,86,786,786,9,43,43,1,1,19,19,0,0
4/1/2020,Imperial,06025,County,191649,2,6,102,51,75,487,244,5,60,30,8,4,25,13,0,0
4/1/2020,Inyo,06027,County,18453,0,0,10,10,19,111,111,0,10,10,0,0,8,8,0,0
4/1/2020,Kern,06029,County,927251,9,22,301,33,152,3171,352,3,136,15,6,1,53,6,0,0
4/1/2020,Kings,06031,County,156444,2,2,21,11,55,544,272,1,12,6,1,1,3,2,0,0
4/1/2020,Lake,06033,County,64871,1,2,3,3,12,204,204,0,0,0,0,0,0,0,0,0
4/1/2020,Lassen,06035,County,30065,0,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0
4/1/2020,Los Angeles,06037,County,10257557,103,664,7700,75,5633,58382,567,820,7649,74,501,5,3502,34,13,66
4/1/2020,Madera,06039,County,160089,2,1,43,22,35,387,194,2,27,14,0,0,17,9,0,1
4/1/2020,Marin,06041,County,260800,3,9,145,48,67,1591,530,10,146,49,2,1,87,29,0,1
4/1/2020,Mariposa,06043,County,17795,0,0,0,0,4,57,57,0,0,0,0,0,0,0,0,0
4/1/2020,Mendocino,06045,County,88439,1,0,4,4,11,435,435,0,6,6,0,0,4,4,0,0
4/1/2020,Merced,06047,County,287420,3,5,38,13,79,791,264,10,34,11,1,0,7,2,0,0
4/1/2020,Modoc,06049,County,9475,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0
4/1/2020,Mono,06051,County,13961,0,2,28,28,5,151,151,0,34,34,0,0,12,12,1,1
4/1/2020,Monterey,06053,County,448732,4,2,77,19,65,999,250,4,63,16,4,1,47,12,0,2
4/1/2020,Napa,06055,County,139652,1,1,36,36,35,390,390,0,15,15,2,2,11,11,0,0
4/1/2020,Nevada,06057,County,98710,1,0,35,35,21,646,646,1,12,12,0,0,15,15,0,0
4/1/2020,Orange,06059,County,3228519,32,68,1395,44,1018,12976,406,97,1170,37,73,2,579,18,4,11
4/1/2020,Placer,06061,County,400434,4,7,127,32,111,2028,507,2,107,27,3,1,52,13,0,2
4/1/2020,Plumas,06063,County,18997,0,2,3,3,4,64,64,3,3,3,1,1,1,1,0,0
4/1/2020,Riverside,06065,County,2468145,25,146,1315,53,1346,13156,526,144,1059,42,22,1,306,12,3,11
4/1/2020,Sacramento,06067,County,1567975,16,52,664,42,687,7547,472,36,502,31,28,2,299,19,0,8
4/1/2020,San Benito,06069,County,64022,1,0,30,30,16,336,336,1,36,36,0,0,14,14,0,1
4/1/2020,San Bernardino,06071,County,2217398,22,84,829,38,706,7011,319,105,695,32,52,2,245,11,0,5
4/1/2020,San Diego,06073,County,3370418,34,82,1663,49,815,15723,462,95,1449,43,115,3,851,25,2,11
4/1/2020,San Francisco,06075,County,892280,9,35,781,87,255,3603,400,47,732,81,28,3,432,48,1,6
4/1/2020,San Joaquin,06077,County,782545,8,16,251,31,193,3102,388,12,224,28,10,1,132,17,1,8
4/1/2020,San Luis Obispo,06079,County,278862,3,2,117,39,62,1183,394,3,120,40,2,1,69,23,0,0
4/1/2020,San Mateo,06081,County,778001,8,19,760,95,330,5713,714,53,890,111,57,7,354,44,1,13
4/1/2020,Santa Barbara,06083,County,456373,5,16,279,56,174,1940,388,14,229,46,14,3,103,21,0,0
4/1/2020,Santa Clara,06085,County,1967585,20,49,1458,73,631,11858,593,75,1588,79,28,1,805,40,3,33
4/1/2020,Santa Cruz,06087,County,273999,3,6,88,29,86,1719,573,8,92,31,4,1,44,15,0,1
4/1/2020,Shasta,06089,County,177925,2,3,25,13,51,703,352,12,29,15,0,0,5,3,0,1
4/1/2020,Sierra,06091,County,3115,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
4/1/2020,Siskiyou,06093,County,43956,0,0,4,4,10,169,169,0,9,9,0,0,3,3,0,0
4/1/2020,Solano,06095,County,444255,4,14,132,33,75,1984,496,6,78,20,1,0,57,14,0,0
4/1/2020,Sonoma,06097,County,496668,5,5,157,31,193,3099,620,5,127,25,2,0,60,12,0,1
4/1/2020,Stanislaus,06099,County,562303,6,15,119,20,123,1961,327,12,98,16,1,0,29,5,0,0
4/1/2020,Sutter,06101,County,105747,1,0,21,21,31,288,288,1,16,16,1,1,9,9,1,1
4/1/2020,Tehama,06103,County,65885,1,0,1,1,7,161,161,0,4,4,0,0,0,0,0,0
4/1/2020,Trinity,06105,County,13354,0,0,0,0,0,73,73,0,0,0,0,0,0,0,0,0
4/1/2020,Tulare,06107,County,484423,5,20,138,28,95,1186,237,18,95,19,1,0,43,9,0,1
4/1/2020,Tuolumne,06109,County,52351,1,0,2,2,25,405,405,0,2,2,0,0,1,1,0,0
4/1/2020,Ventura,06111,County,852747,9,11,319,35,373,5354,595,27,298,33,11,1,154,17,1,5
4/1/2020,Yolo,06113,County,223612,2,7,65,33,69,758,379,12,65,33,1,1,22,11,0,1
4/1/2020,Yuba,06115,County,79290,1,0,9,9,15,223,223,0,5,5,0,0,5,5,0,0
4/8/2020,Alameda,06001,County,1685886,17,35,1009,59,483,11122,654,43,870,51,34,2,594,35,1,15
4/8/2020,Alpine,06003,County,1117,0,0,1,1,1,7,7,0,1,1,0,0,1,1,0,0
4/8/2020,Amador,06005,County,38531,0,0,7,7,11,251,251,1,8,8,0,0,2,2,0,0
4/8/2020,Butte,06007,County,217769,2,1,16,8,32,807,404,1,18,9,0,0,11,6,0,0
4/8/2020,Calaveras,06009,County,44289,0,1,10,10,10,272,272,1,11,11,0,0,5,5,0,0
4/8/2020,Colusa,06011,County,22593,0,0,3,3,2,44,44,0,3,3,1,1,3,3,0,0
4/8/2020,Contra Costa,06013,County,1160099,12,20,683,57,340,7792,649,24,580,48,10,1,481,40,0,7
4/8/2020,Del Norte,06015,County,27558,0,0,2,2,8,183,183,0,4,4,0,0,2,2,0,0
4/8/2020,El Dorado,06017,County,193098,2,1,43,22,78,1257,629,0,35,18,3,2,25,13,0,0
4/8/2020,Fresno,06019,County,1032227,10,16,373,37,175,2763,276,24,177,18,13,1,151,15,0,3
4/8/2020,Glenn,06021,County,29348,0,0,4,4,2,61,61,0,3,3,0,0,2,2,0,0
4/8/2020,Humboldt,06023,County,134098,1,1,56,56,56,1153,1153,0,52,52,0,0,40,40,0,0
4/8/2020,Imperial,06025,County,191649,2,18,157,79,87,772,386,18,97,49,6,3,59,30,0,2
4/8/2020,Inyo,06027,County,18453,0,0,12,12,12,154,154,0,12,12,0,0,11,11,0,0
4/8/2020,Kern,06029,County,927251,9,43,541,60,197,4216,468,23,224,25,64,7,198,22,0,2
4/8/2020,Kings,06031,County,156444,2,2,28,14,42,807,404,0,15,8,0,0,5,3,0,0
4/8/2020,Lake,06033,County,64871,1,1,5,5,20,300,300,1,4,4,0,0,1,1,0,0
4/8/2020,Lassen,06035,County,30065,0,0,0,0,2,90,90,0,0,0,0,0,0,0,0,0
4/8/2020,Los Angeles,06037,County,10257557,103,650,12370,120,5989,91086,884,862,12715,123,620,6,7505,73,26,196
4/8/2020,Madera,06039,County,160089,2,1,54,27,28,575,288,1,38,19,0,0,28,14,0,2
4/8/2020,Marin,06041,County,260800,3,2,164,55,98,2136,712,3,169,56,3,1,125,42,0,7
4/8/2020,Mariposa,06043,County,17795,0,0,0,0,4,69,69,0,0,0,0,0,0,0,0,0
4/8/2020,Mendocino,06045,County,88439,1,0,4,4,8,596,596,0,6,6,0,0,4,4,0,0
4/8/2020,Merced,06047,County,287420,3,15,82,27,135,1265,422,23,102,34,8,3,35,12,0,1
4/8/2020,Modoc,06049,County,9475,0,0,0,0,1,61,61,0,0,0,0,0,0,0,0,0
4/8/2020,Mono,06051,County,13961,0,1,29,29,11,215,215,1,37,37,1,1,19,19,0,1
4/8/2020,Monterey,06053,County,448732,4,8,105,26,109,1488,372,8,91,23,5,1,68,17,1,3
4/8/2020,Napa,06055,County,139652,1,2,43,43,47,583,583,2,28,28,3,3,21,21,0,2
4/8/2020,Nevada,06057,County,98710,1,0,36,36,15,782,782,0,14,14,1,1,21,21,0,1
4/8/2020,Orange,06059,County,3228519,32,47,1729,54,802,17819,557,87,1615,50,63,2,1034,32,0,19
